Museum,Exhibition Title,Dates,Genre,Cost,Artists,Country,Artifact Type,Age Group
Getty Center,What's On,Current Exhibition,European & Classical Fine Art,Free (Reservation required),Various / Featured Artists,United States / International,Paintings & Sculptures,All Ages
Getty Center,Explore Art,Current Exhibition,European & Classical Fine Art,Free (Reservation required),Various / Featured Artists,United States / International,Paintings & Sculptures,All Ages
Getty Center,Research & Conservation,Current Exhibition,European & Classical Fine Art,Free (Reservation required),Various / Featured Artists,United States / International,Paintings & Sculptures,All Ages
Getty Center,Education,Current Exhibition,European & Classical Fine Art,Free (Reservation required),Various / Featured Artists,United States / International,Paintings & Sculptures,All Ages
Getty Villa,What's On,Current Exhibition,Greek & Roman Antiquities,Free (Reservation required),Various / Featured Artists,United States / International,Antiquities & Sculptures,All Ages
Getty Villa,Explore Art,Current Exhibition,Greek & Roman Antiquities,Free (Reservation required),Various / Featured Artists,United States / International,Antiquities & Sculptures,All Ages
Getty Villa,Research & Conservation,Current Exhibition,Greek & Roman Antiquities,Free (Reservation required),Various / Featured Artists,United States / International,Antiquities & Sculptures,All Ages
Getty Villa,Education,Current Exhibition,Greek & Roman Antiquities,Free (Reservation required),Various / Featured Artists,United States / International,Antiquities & Sculptures,All Ages
Los Angeles County Museum of Art (LACMA),Christian Marclay: The Clock,"December 21, 2025 – January 3, 2027",Global & Modern Art,$25 General Admission,"the Los Angeles, lively dancing skeletons, installed along LACMA",United States / International,Drawings & Prints,All Ages
The Broad,NowOn View,Current Exhibition,Contemporary Art,Free (Timed-entry ticket),Various / Featured Artists,United States / International,Contemporary Installations,All Ages
The Broad,Yoko Ono: Music of the Mind,Current Exhibition,Contemporary Art,Free (Timed-entry ticket),Various / Featured Artists,United States / International,Contemporary Paintings & Installations,All Ages
The Broad,Expansive Presentation of Jean-Michel Basquiat,Current Exhibition,Contemporary Art,Free (Timed-entry ticket),Various / Featured Artists,United States / International,Contemporary Installations,All Ages
The Broad,Expansive Presentation of Andy Warhol,Current Exhibition,Contemporary Art,Free (Timed-entry ticket),Various / Featured Artists,United States / International,Contemporary Installations,All Ages
California Science Center,Current & Permanent Collection at California Science Center,Ongoing / Permanent Exhibition,Science & Space Exploration,Free General Admission,Various / Featured Artists,United States / International,Spacecraft & Interactive Displays,All Ages
Natural History Museum of LA County,Orcas: Our Shared Future,Current Exhibition,Natural History & Paleontology,$18 General Admission,Various / Featured Artists,United States / International,Fossils & Natural Specimens,All Ages
Natural History Museum of LA County,Unearthed: Raw Beauty,Current Exhibition,Natural History & Paleontology,$18 General Admission,Various / Featured Artists,United States / International,Fossils & Natural Specimens,All Ages
Natural History Museum of LA County,The Declaration in Progress,Current Exhibition,Natural History & Paleontology,$18 General Admission,Various / Featured Artists,United States / International,Fossils & Natural Specimens,All Ages
Natural History Museum of LA County,Reframing Dioramas: The Art of Preserving Wilderness,Current Exhibition,Natural History & Paleontology,$18 General Admission,Various / Featured Artists,United States / International,Fossils & Natural Specimens,All Ages
Academy Museum of Motion Pictures,Current & Permanent Collection at Academy Museum of Motion Pictures,Ongoing / Permanent Exhibition,Film & Cinema History,$25 General Admission,Various / Featured Artists,United States / International,Film Memorabilia & Props,All Ages
Griffith Observatory,Explore the Observatory,Current Exhibition,Astronomy & Space Science,Free General Admission,Various / Featured Artists,United States / International,Astronomical Instruments & Meteorites,All Ages
Griffith Observatory,Public Telescopes,Current Exhibition,Astronomy & Space Science,Free General Admission,"the most sophisticated, the sparkling ribbon",United States / International,Sculptures,All Ages
Griffith Observatory,Wilder Hall of the Eye,Current Exhibition,Astronomy & Space Science,Free General Admission,Various / Featured Artists,United States / International,Astronomical Instruments & Meteorites,All Ages
Griffith Observatory,Ahmanson Hall of the Sky,Current Exhibition,Astronomy & Space Science,Free General Admission,Various / Featured Artists,United States / International,Astronomical Instruments & Meteorites,All Ages
California African American Museum,Current & Permanent Collection at California African American Museum,Ongoing / Permanent Exhibition,African American Art & History,Free Admission,Various / Featured Artists,United States / International,"Paintings, Sculpture & Historical Artifacts",All Ages
Petersen Automotive Museum,Your cart is empty,Current Exhibition,Automotive History & Design,$21 General Admission,Various / Featured Artists,United States / International,Historic & Concept Automobiles,All Ages
Petersen Automotive Museum,World's Fastest,Ongoing / Permanent Exhibition,Automotive History & Design,$21 General Admission,"Italian Masters Explore, Hagerty Constant Rotating, Possibility Waymo",USA,Film & Cinema Memorabilia,Kids & Families
Petersen Automotive Museum,World-Class,Current Exhibition,Automotive History & Design,$21 General Admission,Various / Featured Artists,United States / International,Historic & Concept Automobiles,All Ages
Petersen Automotive Museum,Driven by Possibility,Current Exhibition,Automotive History & Design,$21 General Admission,Possibility Waymo,United States / International,Historic & Concept Automobiles,All Ages
de Young Museum,Current & Permanent Collection at de Young Museum,Ongoing / Permanent Exhibition,American & International Fine Art,$20 General Admission,Various / Featured Artists,United States / International,"Paintings, Textiles & Costumes",All Ages
San Francisco Museum of Modern Art (SFMOMA),List of Exhibitions,Ongoing / Permanent Exhibition,Modern & Contemporary Art,$25 General Admission,Various / Featured Artists,Mexico,Modern Paintings & Photography,All Ages
San Francisco Museum of Modern Art (SFMOMA),Matisse's Femme au chapeau: A Modern Scandal,Current Exhibition,Modern & Contemporary Art,$25 General Admission,Various / Featured Artists,United States / International,Modern Paintings & Photography,All Ages
San Francisco Museum of Modern Art (SFMOMA),Graciela Iturbide: Between Two Worlds,Current Exhibition,Modern & Contemporary Art,$25 General Admission,Various / Featured Artists,Mexico,Modern Paintings & Photography,All Ages
