Museum,City,Region,Lat,Lng,Website
Getty Center,Los Angeles,Los Angeles Area,34.078,-118.4741,https://www.getty.edu
Getty Villa,Pacific Palisades,Los Angeles Area,34.0459,-118.5653,https://www.getty.edu/visit/villa/
Los Angeles County Museum of Art (LACMA),Los Angeles,Los Angeles Area,34.0639,-118.3592,https://www.lacma.org
The Broad,Los Angeles,Los Angeles Area,34.0545,-118.2504,https://www.thebroad.org
California Science Center,Los Angeles,Los Angeles Area,34.0158,-118.2862,https://californiasciencecenter.org
Natural History Museum of LA County,Los Angeles,Los Angeles Area,34.017,-118.2888,https://nhm.org
Academy Museum of Motion Pictures,Los Angeles,Los Angeles Area,34.0633,-118.3608,https://www.academuseum.org
Griffith Observatory,Los Angeles,Los Angeles Area,34.1184,-118.3004,https://griffithobservatory.org
California African American Museum,Los Angeles,Los Angeles Area,34.0153,-118.2833,https://caammuseum.org
Petersen Automotive Museum,Los Angeles,Los Angeles Area,34.0624,-118.3612,https://www.petersen.org
de Young Museum,San Francisco,SF Bay Area,37.7715,-122.4687,https://www.famsf.org
San Francisco Museum of Modern Art (SFMOMA),San Francisco,SF Bay Area,37.7857,-122.4011,https://www.sfmoma.org
California Academy of Sciences,San Francisco,SF Bay Area,37.7699,-122.4661,https://www.calacademy.org
Exploratorium,San Francisco,SF Bay Area,37.8015,-122.3973,https://www.exploratorium.edu
Legion of Honor,San Francisco,SF Bay Area,37.7845,-122.5008,https://www.famsf.org
Asian Art Museum,San Francisco,SF Bay Area,37.7802,-122.4162,https://www.asianart.org
Oakland Museum of California,Oakland,SF Bay Area,37.7986,-122.2635,https://museumca.org
Computer History Museum,Mountain View,SF Bay Area,37.4148,-122.0772,https://computerhistory.org
San Diego Museum of Art,San Diego,San Diego Area,32.7319,-117.1504,https://www.sdmart.org
San Diego Natural History Museum,San Diego,San Diego Area,32.7321,-117.1473,https://www.sdnhm.org
San Diego Air & Space Museum,San Diego,San Diego Area,32.7262,-117.1542,https://sandiegoairandspace.org
USS Midway Museum,San Diego,San Diego Area,32.7137,-117.1751,https://www.midway.org
Museum of Contemporary Art San Diego (MCASD),La Jolla,San Diego Area,32.8466,-117.2771,https://mcasd.org
California State Railroad Museum,Sacramento,Sacramento Region,38.5839,-121.5042,https://www.railroadmuseum.org
Crocker Art Museum,Sacramento,Sacramento Region,38.5772,-121.5033,https://www.crockerart.org
California Museum,Sacramento,Sacramento Region,38.5752,-121.4939,https://www.californiamuseum.org
Santa Barbara Museum of Art,Santa Barbara,Central Coast,34.4231,-119.7049,https://www.sbmuseumofart.org
Monterey Bay Aquarium,Monterey,Central Coast,36.6182,-121.9015,https://www.montereybayaquarium.org
Norton Simon Museum,Pasadena,Los Angeles Area,34.146,-118.1601,https://www.nortonsimon.org
Ronald Reagan Presidential Library,Simi Valley,Southern California,34.2597,-118.8197,https://www.reaganlibrary.gov
